customer_ID,identity_number,first_names,surname,citizenship,passport_ID,credit_card_no,
501001,0506812699,Jón,Jónsson,IS,,1.11122E+15,
501002,1107978869,Sigurður,Jónsson,IS,,1.11122E+15,
501003,0307732049,Guðmundur,Jónsson,IS,,1.11122E+15,
501004,1602733729,Gunnar,Jónsson,IS,,1.11122E+15,
501005,0608850409,Ólafur,Jónsson,IS,,1.11122E+15,
501006,1605989989,Einar,Jónsson,IS,,1.11122E+15,
501007,1004581919,Kristján,Jónsson,IS,,1.11122E+15,
501008,1709891769,Magnús,Jónsson,IS,,1.11122E+15,
501009,0908846029,Stefán,Jónsson,IS,,1.11122E+15,
501010,2504924189,Jóhann,Jónsson,IS,,1.11122E+15,
501011,0802655759,Björn,Jónsson,IS,,1.11122E+15,
501012,0204747319,Arnar,Jónsson,IS,,1.11122E+15,
501013,2004815349,Árni,Jónsson,IS,,1.11122E+15,
501014,1405787219,Bjarni,Jónsson,IS,,1.11122E+15,
501015,1908784079,Helgi,Jónsson,IS,,1.11122E+15,
501016,0109664449,Halldór,Jónsson,IS,,1.11122E+15,
501017,0903729569,Pétur,Jónsson,IS,,1.11122E+15,
501018,1603574149,Daníel,Jónsson,IS,,1.11122E+15,
501019,0112827399,Kristinn,Jónsson,IS,,1.11122E+15,
501020,2602800539,Ragnar,Jónsson,IS,,1.11122E+15,
501021,0606701559,Gísli,Jónsson,IS,,1.11122E+15,
501022,2209529739,Þorsteinn,Jónsson,IS,,1.11122E+15,
501023,2302991109,Guðjón,Jónsson,IS,,1.11122E+15,
501024,2803687589,Aron,Jónsson,IS,,1.11122E+15,
501025,1509870809,Sveinn,Jónsson,IS,,1.11122E+15,
501026,2706644429,Róbert,Jónsson,IS,,1.11122E+15,
501027,0904600149,Páll,Jónsson,IS,,1.11122E+15,
501028,2706814709,Óskar,Jónsson,IS,,1.11122E+15,
501029,1012906259,Birgir,Jónsson,IS,,1.11122E+15,
501030,2902881299,Davíð,Jónsson,IS,,1.11122E+15,
501031,1911659569,Andri,Jónsson,IS,,1.11122E+15,
501032,0301857939,Alexander,Jónsson,IS,,1.11122E+15,
501033,0710975709,Viktor,Jónsson,IS,,1.11122E+15,
501034,2601830639,Bjarki,Jónsson,IS,,1.11122E+15,
501035,1611926349,Tómas,Jónsson,IS,,1.11122E+15,
